ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,PHOSPHORUS,FRACROTBOND,CHIRALCENTERS,HALOGEN
UNPD_subset_A_1729,O(C)c1c(O)cc(O)c2C(=O)C(O)=C(c3ccc(OC)cc3)Oc12,UNPD-A,7,3,2.5940001,109.36,330.29199,0.11764706,24,3,7,3,0,0,2,1,3,0,12,0,0,0,0,0,0,7,0,0.11538462,0,0
UNPD_subset_A_1730,O=C(O[C@@]1[C@@](O)[C@](O)C(C(=O)O)O[C@]1O[C@@]1[C@@](O)[C@](O)C(C(=O)O)O[C@]1Oc1cc(O)c2C(=O)C=C(c3cc(OC)c(O)c(OC)c3)Oc2c1)C=Cc1cc(OC)c(O)c(OC)c1,UNPD-A,21,9,0.063000001,346.56,888.737,0.34999999,63,6,23,14,0,2,3,1,4,0,18,0,0,0,0,0,0,23,0,0.22058824,10,0
UNPD_subset_A_1731,O(CC)[C@]1[C@@](CO)[C@](OCC)CO1,UNPD-A,4,1,0.3928,47.919998,190.239,1.0,13,1,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0.38461539,3,0
UNPD_subset_A_1732,O=C(OC[C@@]12C(=O)C(O)C(C)[C@@](CCc3cocc3)(C)[C@]1[C@@](O)CC[C@]12OC1)C,UNPD-A,7,2,1.8875999,109.5,406.47501,0.72727275,29,4,7,5,2,1,0,1,1,0,5,0,0,0,0,0,0,7,0,0.1875,7,0
UNPD_subset_A_1733,O=C1N(C)C(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)OC1[C@@](CC)C,UNPD-A,9,0,5.3025999,139.83,797.98999,0.47826087,58,4,12,10,0,1,3,0,3,0,18,0,0,0,0,0,3,9,0,0.16393442,7,0
UNPD_subset_A_1734,O=C1OC(C)(C)[C@]2[C@](C)(C=C1)[C@@]1[C@@](C)([C@](O)C2)[C@]23[C@](C)([C@](c4cocc4)[C@](O)[C@]2O3)CC1,UNPD-A,6,2,3.5766001,92.43,442.552,0.73076922,32,6,6,1,3,2,0,1,1,0,5,0,0,0,0,0,0,6,0,0.027027028,10,0
UNPD_subset_A_1735,O[C@@]1[C@@]2[C@@](C)([C@]3[C@]([C@@]4[C@@](C)([C@]5[C@](C)[C@@]6(O[C@@]5C4)OC[C@](C)CC6)CC3)C1)CC[C@](N)C2,UNPD-A,4,2,4.7309999,64.709999,431.66101,1.0,31,6,4,0,4,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0.0,13,0
UNPD_subset_A_1736,O=C(O)[C@]12c3[nH]c4c(c3CN3CC([C@@]1CC3)=CCOC2)cccc4,UNPD-A,3,2,2.2823999,65.559998,324.38,0.42105263,24,6,5,1,0,4,1,1,2,0,9,0,0,0,0,0,2,3,0,0.035714287,2,0
UNPD_subset_A_1737,O=C(O)CCCCCC=CCCCCCCCCO,UNPD-A,2,2,4.3007002,57.529999,270.41299,0.8125,19,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.77777779,0,0
UNPD_subset_A_1738,OC[C@@]1(C)[C@]2[C@](C)([C@@]3[C@@]4([C@@](O)C(=C)[C@@]([C@]4O)CC3)CC2)C[C@](O)C1,UNPD-A,4,4,1.8602,80.919998,336.47198,0.89999998,24,4,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.037037037,9,0
UNPD_subset_A_1739,O=C(C(C)C)c1c(O)c(Cc2c(O)c(C)c(O)c3C(=O)CC(C)(C)Oc23)c(O)c(C)c1O,UNPD-A,8,5,4.0047402,144.52,444.48001,0.41666666,32,3,8,4,0,1,2,0,2,0,12,0,0,0,0,0,0,8,0,0.11764706,0,0
UNPD_subset_A_1740,O=C(OC)C[C@]1C(C)(C)[C@@](OC)c2c([C@@]1C)oc(C=1[C@](CCC(=O)O)(C)[C@](c3cocc3)OC(=O)C=1)c2,UNPD-A,8,1,5.4352999,125.41,514.57098,0.53571427,37,4,9,8,1,1,0,2,2,0,10,0,0,0,0,0,0,9,0,0.22499999,5,0
UNPD_subset_A_1741,O(C)c1c(O)ccc2C(=O)C[C@@](c3cc(O)c(O)cc3)Oc12,UNPD-A,6,3,2.5185001,96.220001,302.28201,0.1875,22,3,6,2,0,1,2,0,2,0,12,0,0,0,0,0,0,6,0,0.083333336,1,0
UNPD_subset_A_1742,OC(C)(C)[C@@]1[C@](O)[C@@](O)[C@@]2(O)[C@]3[C@@](C)([C@@]4(C)c5[nH]c6c(c5C[C@@]4CC3)cccc6)CC[C@@]2O1,UNPD-A,5,5,2.7992001,105.94,455.595,0.7037037,33,6,6,1,3,1,1,1,2,0,9,0,0,0,0,0,1,5,0,0.02631579,9,0
UNPD_subset_A_1743,O=C/C=C(/[C@@](O)C/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C,UNPD-A,2,1,5.3017998,37.299999,304.474,0.55000001,22,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.47619048,1,0
